Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,676.10,676.10,676.10,676.10,000,676.10
2012-12-24,680.00,680.15,671.80,676.10,1370500,676.10
2012-12-21,681.00,682.00,674.05,676.00,2771500,676.00
2012-12-20,686.00,687.00,680.25,683.40,2565100,683.40
2012-12-19,674.55,689.25,674.50,688.00,4122200,688.00
2012-12-18,677.95,682.20,669.75,675.95,3343700,675.95
2012-12-17,687.90,687.90,673.60,676.50,3057500,676.50
2012-12-14,690.05,694.40,685.35,688.75,2093400,688.75
2012-12-13,693.85,696.00,689.00,691.05,1570800,691.05
2012-12-12,691.25,696.00,688.50,693.85,1934100,693.85
2012-12-11,695.25,699.00,686.30,690.85,3375100,690.85
2012-12-10,690.00,696.50,689.65,693.00,2081000,693.00
2012-12-07,695.25,698.00,688.00,693.10,1984100,693.10
2012-12-06,695.80,698.50,680.80,694.75,2726100,694.75
2012-12-05,689.00,695.00,687.00,692.60,2304900,692.60
2012-12-04,684.10,690.00,681.05,685.15,2169800,685.15
2012-12-03,700.00,701.15,684.00,686.95,2909000,686.95
2012-11-30,701.00,705.50,689.60,703.95,3909800,703.95
2012-11-29,677.50,703.75,675.40,699.85,6299800,699.85
2012-11-28,680.50,680.50,680.50,680.50,000,680.50
2012-11-27,664.90,683.80,664.90,680.50,4125600,680.50
2012-11-26,673.00,673.70,660.10,661.90,1370300,661.90
2012-11-23,669.50,672.60,659.05,669.75,1312400,669.75
2012-11-22,666.80,671.15,664.00,669.10,2110200,669.10
2012-11-21,655.15,665.50,649.70,663.70,3232400,663.70
2012-11-20,649.10,655.90,648.25,653.85,2338300,653.85
2012-11-19,639.75,647.90,639.45,646.75,1446900,646.75
2012-11-16,643.00,648.60,640.15,642.25,3025700,642.25
2012-11-15,647.00,647.40,639.00,646.25,2360500,646.25
2012-11-14,651.30,651.30,651.30,651.30,000,651.30
2012-11-13,651.30,651.30,651.30,651.30,000,651.30
2012-11-12,637.25,653.80,637.25,651.30,2414300,651.30
2012-11-09,638.25,643.00,635.00,639.35,1105100,639.35
2012-11-08,636.50,641.00,635.50,639.00,966900,639.00
2012-11-07,639.75,645.00,636.90,640.05,2050100,640.05
2012-11-06,633.95,641.20,633.95,639.55,1819500,639.55
2012-11-05,632.00,636.00,630.75,635.00,1005500,635.00
2012-11-02,638.00,638.00,628.00,630.30,1358100,630.30
2012-11-01,632.75,635.70,627.50,628.60,1764600,628.60
2012-10-31,634.10,635.90,630.05,634.20,1873200,634.20
2012-10-30,637.05,644.80,630.60,633.65,2208700,633.65
2012-10-29,637.85,642.50,635.55,640.60,1378000,640.60
2012-10-26,637.35,637.35,637.35,637.35,000,637.35
2012-10-25,632.65,641.00,629.00,637.35,4252800,637.35
2012-10-24,634.10,634.10,634.10,634.10,000,634.10
2012-10-23,639.05,639.50,632.50,634.10,2083200,634.10
2012-10-22,625.20,640.00,625.20,639.00,2060300,639.00
2012-10-19,632.00,635.00,627.00,628.50,2263800,628.50
2012-10-18,630.00,637.90,624.45,636.20,1404600,636.20
2012-10-17,632.00,632.50,626.50,628.10,1608400,628.10
2012-10-16,635.25,635.50,628.10,630.40,1818400,630.40
2012-10-15,632.40,634.90,622.60,634.15,1893000,634.15
2012-10-12,630.00,635.00,626.00,631.15,3876600,631.15
2012-10-11,621.15,627.80,618.45,624.85,2453200,624.85
2012-10-10,624.00,624.00,616.20,617.95,1073700,617.95
2012-10-09,624.95,630.50,622.00,625.75,1077600,625.75
2012-10-08,623.90,623.90,616.55,620.70,2322600,620.70
2012-10-05,638.00,638.65,505.05,622.40,3736700,622.40
2012-10-04,621.50,633.90,621.45,631.30,3163000,631.30
2012-10-03,624.00,626.80,617.95,619.45,2758000,619.45
2012-10-02,622.85,622.85,622.85,622.85,000,622.85
2012-10-01,629.00,632.00,620.00,622.85,2013600,622.85
